image_number,title,day,location
2331,Green Mordor,20-Jun-26,"From Secada, Dolomites, Italy"
1841,Gay Water Boys,17-Jun-26,"Schonbrunn, Vienna, Austria"
1864,Smaller Red Car,17-Jun-26,"Central Vienna, Austria"
1869,Blues and Lights,17-Jun-26,"Belvedere, Vienna, Austria"
1915,Arches,17-Jun-26,"Domkirche St. Stephan, Vienna, Austria"
1947,Holy Sky,17-Jun-26,"Pfarrkirche Votivkirche, Vienna, Austria"
1988,Bleak Lavender,18-Jun-26,"Central Vienna, Austria"
1995,Great Head,18-Jun-26,"Kunsthistorisches Museum, Vienna, Austria"
2010,Biography,18-Jun-26,"Kunsthistorisches Museum, Vienna, Austria"
2027,Sunkissed,18-Jun-26,"Kunsthistorisches Museum, Vienna, Austria"
2061,Lifecycle,19-Jun-26,"Central Cemetary, Vienna, Austria"
8321,Nene with us,7-Mar-26,"Rovaneimi, Finland"
9050,"Aurora, Andromeda, and A meteor",8-Mar-26,"Rovaneimi, Finland"
9026,Natural Traffic Light,8-Mar-26,"Rovaneimi, Finland"
9034,Light Lasagna,8-Mar-26,"Rovaneimi, Finland"
8388,Ratatata,8-Mar-26,"Wildlife Park, Ranua, Finland"
8488,Hedwig,8-Mar-26,"Wildlife Park, Ranua, Finland"
8558,Great Collapse,8-Mar-26,"Wildlife Park, Ranua, Finland"
9281,Good Bois,9-Mar-26,"Santa Claus Village, Rovaneimi, Finland"
